,Unnamed: 0,filename,description,author,text
0,0,845010375.jpg,Золотая осень,Исаак Ильич Левитан,"рисунок реки, протекающей через зеленое поле"
1,1,669860839.jpg,Поздняя осень,Исаак Ильич Левитан,рисунок поля со сенами и прудами
2,2,741052246.jpg,Зимой в лесу. 1885,Исаак Ильич Левитан,Картина волка в снежном лесу с деревьями
3,3,884368896.jpg,Март,Исаак Ильич Левитан,рисунок лошади и человека в снежном районе
4,4,628277587.jpg,Вечерние тени. 1891-1894,Исаак Ильич Левитан,"рисунок зелёного поля с потоком, проходящим через него"
5,5,640197753.jpg,Весна – большая вода,Исаак Ильич Левитан,"рисунок лодки в озере, окруженном деревьями и водой"
6,6,240075683.jpg,Над вечным покоем,Исаак Ильич Левитан,"Картина с домом на холме, взглянув на озеро и облачное небо"
7,7,168197631.jpg,Вечерний звон,Исаак Ильич Левитан,покраска реки с лодкой и церковью на расстоянии
8,8,733197021.jpg,Васильки. 1894,Исаак Ильич Левитан,рисунок вазы с голубыми цветами на столе
9,9,642944335.jpg,Осенний пейзаж с церковью. 1890-е,Исаак Ильич Левитан,рисунок дерева на поле с зданием на заднем фоне
10,10,105630493.jpg,Сумерки. Стога,Исаак Ильич Левитан,покраска поля с сенами и полнолуние
11,11,644042968.jpg,Лесистый берег. Сумерки. 1892,Исаак Ильич Левитан,арафированный вид на реку с берегом и деревьями на заднем фоне
12,12,592929077.jpg,Деревня. Зима. 1877-1878,Исаак Ильич Левитан,рисунок снежного ландшафта с дорогой и домами
13,13,131311035.jpg,Березовая роща. 1878,Исаак Ильич Левитан,рисунок рощи деревьев в солнечном лесу
14,14,535250854.jpg,Дуб. 1880,Исаак Ильич Левитан,рисунок большого дерева на травяном поле с неба фоном
15,15,540222167.jpg,Владимирка,Исаак Ильич Левитан,"рисунок грунтовой дороги с человеком, идущим по ней"
16,16,216592407.jpg,Осенний день. Сокольники,Исаак Ильич Левитан,"рисунок женщины, идущей по тропинке в парке"
17,17,338980102.jpg,На даче в сумерки. 1890-е,Исаак Ильич Левитан,"Картина дома с окном, зажженным ночью"
18,18,811199951.jpg,Осень. Усадьба. 1894,Исаак Ильич Левитан,Картина хижины в лесу с падшими листьями на земле
19,19,733691406.jpg,Октябрь . 1891,Исаак Ильич Левитан,рисунок поля с деревьями и небом на заднем фоне
20,20,135540771.jpg,После дождя. Плёс,Исаак Ильич Левитан,"рисунок лодки, пришвартованной на реке с городом на заднем плане"
21,21,752120971.jpg,Лесное озеро,Исаак Ильич Левитан,рисунок озера с деревьями и мостом на расстоянии
22,22,613418579.jpg,Осень. Долина реки. 1896,Исаак Ильич Левитан,рисунок ландшафта с рекой и лесом на заднем фоне
23,23,844488525.jpg,Июньский день . 1890-е,Исаак Ильич Левитан,на картине поля с одиноким деревом на расстоянии
24,24,114062500.jpg,У омута. 1892,Исаак Ильич Левитан,рисунок деревянного моста через реку с лесами на заднем плане
25,25,369934082.jpg,Сумерки. Луна,Исаак Ильич Левитан,покраска лодки в водоем с полной луной на небе
26,26,834545898.jpg,Летний вечер,Исаак Ильич Левитан,покраска сельской дороги с воротами и полями
27,27,870718383.jpg,Березовая роща. 1885-1889,Исаак Ильич Левитан,рисунок рощи деревьев в травяной местности с травой
28,28,576147460.jpg,Деревня. Зима. 1888,Исаак Ильич Левитан,рисунок снежного ландшафта с деревней на заднем плане
29,29,163995361.jpg,Весна в Италии2. 1890,Исаак Ильич Левитан,рисунок горной дороги с горой на заднем плане
30,30,399871826.jpg,Туман. Осень. 1899,Исаак Ильич Левитан,"рисунок поля с деревьями и человеком, идущим вдалеке"
31,31,365264892.jpg,Белая сирень. 1895,Исаак Ильич Левитан,рисунок вазы белых цветов на столе
32,32,238565063.jpg,Ненюфары. 1895,Исаак Ильич Левитан,рисунок пруда с лилиями и водяными лилиями
33,33,303192138.jpg,Весна. Белая сирень. 1890-е,Исаак Ильич Левитан,"рисунок дома с крыльцом и лестницей, ведущей к крыльцу"
34,34,670327758.jpg,Лес зимой. 1880-е,Исаак Ильич Левитан,Картина снежного леса с собакой на переднем плане
35,35,906066894.jpg,В лесу осенью. 1894,Исаак Ильич Левитан,рисунок леса с несколькими деревьями и холмом
36,36,108843994.jpg,Лунная ночь. Большая дорога. 1897-1898,Исаак Ильич Левитан,рисунок дороги с деревьями и собакой на боку.
37,37,791864013.jpg,На Волге. 1887-1888,Исаак Ильич Левитан,"Там много лодок, которые сидят на берегу воды."
38,38,970117187.jpg,На озере Комо. Набережная. 1894,Исаак Ильич Левитан,рисунок лодки на реке с человеком в красной шляпе
39,39,558102416.jpg,Разлив. 1895,Исаак Ильич Левитан,рисунок облачного неба над болотом с водоемом
40,40,509295654.jpg,В Крымских горах,Исаак Ильич Левитан,рисунок скалистого ландшафта с деревьями и камнями
41,41,756488037.jpg,Большая дорога. Осенний солнечный день. 1897,Исаак Ильич Левитан,рисунок грунтовой дороги с деревьями на заднем фоне
42,42,746902465.jpg,Туман над водой. 1890-е,Исаак Ильич Левитан,рисунок ландшафта с озером и деревьями на переднем плане
43,43,303109741.jpg,Перед грозой. 1890,Исаак Ильич Левитан,Картина облачного неба с одинокой лошадью на поле
44,44,249386596.jpg,Бульвар зимой. 1883,Исаак Ильич Левитан,"рисунок пары, гуляющей ночью в снежном парке."
45,45,982366943.jpg,Зимний пейзаж с мельницей. 1884,Исаак Ильич Левитан,рисунок снежного ландшафта с амбаром и потоком
46,46,195828247.jpg,Озеро. Русь. 1899-1900,Исаак Ильич Левитан,рисунок реки с холмом на заднем плане
47,47,588589477.jpg,Ранняя весна. 1892,Исаак Ильич Левитан,рисование поля с несколькими хижинами и деревьями на заднем плане
48,48,754318237.jpg,Свежий ветер. Волга. 1895,Исаак Ильич Левитан,рисунок лодки в воде с лодкой на заднем плане
49,49,628717041.jpg,У берега моря. Крым. 1886,Исаак Ильич Левитан,На берегу есть картина с камнями и водой.
50,50,843032836.jpg,Цветущие яблони3. 1896,Исаак Ильич Левитан,рисование скамейки в поле с деревьями и травой
51,51,862066650.jpg,Автопортрет. 1880-е,Исаак Ильич Левитан,Картина человека с бородой и бабочкой.
52,52,432254028.jpg,Весна пришла,Исаак Ильич Левитан,"рисунок небольшого потока, проходящего через грунтовое поле рядом с деревянным зданием"
53,53,98765432.jpg,Март. 1895,Исаак Ильич Левитан,рисунок лошади и человека в снегу рядом с домом
54,54,750006103.jpg,Ранняя весна. 1898,Исаак Ильич Левитан,рисунок реки со снегом и деревьями на заднем фоне
55,55,607678222.jpg,Сирень. 1893,Исаак Ильич Левитан,рисунок вазы цветов с фиолетовым фоном
